STATE,DISTRICT,PARTY,VOTES,TOTAL VOTES
ALABAMA,1,DEM,116949,328774
ALABAMA,1,REP,211825,328774
ALABAMA,2,DEM,105286,303282
ALABAMA,2,REP,197996,303282
ALABAMA,3,DEM,104595,321979
ALABAMA,3,REP,217384,217384
ALABAMA,4,DEM,56237,317790
ALABAMA,4,REP,261553,317790
ALABAMA,5,DEM,0,253094
ALABAMA,5,REP,253094,253094
ALABAMA,6,DEM,0,274160
ALABAMA,6,REP,274160,274160
ALABAMA,7,DEM,225742,225742
ALABAMA,7,REP,0,225742
ALASKA,1,DEM,159856,351982
ALASKA,1,REP,192126,351982
ARIZONA,1,DEM,188469,365178
ARIZONA,1,REP,176709,365178
ARIZONA,2,DEM,209945,380920
ARIZONA,2,REP,170975,380920
ARIZONA,3,DEM,174243,269837
ARIZONA,3,REP,95594,269837
ARIZONA,4,DEM,120484,398486
ARIZONA,4,REP,278002,398486
ARIZONA,5,DEM,183171,445585
ARIZONA,5,REP,262414,445585
ARIZONA,6,DEM,199644,417427
ARIZONA,6,REP,217783,417427
ARIZONA,7,DEM,165452,215678
ARIZONA,7,REP,50226,215678
ARIZONA,8,DEM,170816,422449
ARIZONA,8,REP,251633,422449
ARIZONA,9,DEM,217094,352274
ARIZONA,9,REP,135180,352274
ARKANSAS,1,DEM,0,237596
ARKANSAS,1,REP,237596,237596
ARKANSAS,2,DEM,148410,332503
ARKANSAS,2,REP,184093,332503
ARKANSAS,3,DEM,106325,321285
ARKANSAS,3,REP,214960,321285
ARKANSAS,4,DEM,75750,267367
ARKANSAS,4,REP,191617,267367
CALIFORNIA,1,DEM,154073,358263
CALIFORNIA,1,REP,204190,358263
CALIFORNIA,2,DEM,294435,388755
CALIFORNIA,2,REP,94320,388755
CALIFORNIA,3,DEM,176043,321988
CALIFORNIA,3,REP,145945,321988
CALIFORNIA,4,DEM,194731,442022
CALIFORNIA,4,REP,247291,442022
CALIFORNIA,5,DEM,271233,356460
CALIFORNIA,5,REP,85227,356460
CALIFORNIA,6,DEM,229648,313114
CALIFORNIA,6,REP,83466,313114
CALIFORNIA,7,DEM,217416,383965
CALIFORNIA,7,REP,166549,383965
CALIFORNIA,8,DEM,124400,283111
CALIFORNIA,8,REP,158711,28311
